,Unnamed: 0,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
201,201,SAI,Ferrari,4.0,3.0,Finished,0.5370000000000061,4.0,2024,Spielberg,,,
202,202,HAM,Mercedes,5.0,4.0,Finished,0.5890000000000128,5.0,2024,Spielberg,,,
203,203,VER,Red Bull Racing,1.0,5.0,Finished,0.0,1.0,2024,Spielberg,,,
204,204,HUL,Haas F1 Team,9.0,6.0,Finished,1.0710000000000122,9.0,2024,Spielberg,,,
205,205,PER,Red Bull Racing,8.0,7.0,Finished,0.8880000000000052,8.0,2024,Spielberg,,,
206,206,MAG,Haas F1 Team,12.0,8.0,Finished,1.0330000000000013,12.0,2024,Spielberg,,,
207,207,RIC,RB,11.0,9.0,Finished,0.9750000000000084,11.0,2024,Spielberg,,,
208,208,GAS,Alpine,13.0,10.0,Finished,1.0450000000000017,13.0,2024,Spielberg,,,
209,209,LEC,Ferrari,6.0,11.0,Finished,0.730000000000004,6.0,2024,Spielberg,,,
210,210,OCO,Alpine,10.0,12.0,Finished,1.5690000000000026,10.0,2024,Spielberg,,,
211,211,STR,Aston Martin,17.0,13.0,Lapped,1.5050000000000097,17.0,2024,Spielberg,,,
212,212,TSU,RB,14.0,14.0,Lapped,1.0980000000000132,14.0,2024,Spielberg,,,
